Nama_Produk,Harga,Merk_CPU,Seri_CPU,Model_CPU,RAM,GPU,Layar,Full_CPU_Text,Skor_CPU,Skor_GPU,Kelas_Laptop
"Laptop ASUS GAMING V16 V3607VU Intel Core 7 240H GeForce RTX 4050 6GB RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 16"" Inch WUXGA 144Hz Refresh Rate",14299000,INTEL,INTEL CORE 3,607VU,16.0,RTX 4050,16.0,INTEL CORE 3 607VU,5000,18000,GAMING/RENDERING BERAT
"Axioo PONGO 760 V2 RTX4060 8GB/i7 13620H 16gb 512ssd DOS 15"" FHD 144HZ IPS RGB 3Y",16699000,INTEL,CORE I7,13620H,16.0,RTX 4060,15.0,CORE I7 13620H,15000,22000,GAMING/RENDERING BERAT
"Laptop ASUS TUF A16 FA608PP AMD Ryzen 9 8940HX GeForce RTX 5070 8GB RAM 16 GB SSD 1 TB Windows 11 + Office Home Student 16"" WQXGA 165HZ 100Srgb",26549000,AMD,RYZEN 9,8940HX,16.0,RTX 5070,16.0,RYZEN 9 8940HX,28000,32000,GAMING/RENDERING BERAT
"Laptop Lenovo Ideapad 5 2 in1 14 Touch Screen Intel Core Ultra 5 225U RAM  16 GB SSD 512 GB Windows 11 + Office Home Student 14"" WUXGA",12799000,INTEL,INTEL ULTRA 5,225U,16.0,INTEGRATED,14.0,INTEL ULTRA 5 225U,20000,2500,MENENGAH/OFFICE MULTITASKING
Lenovo Ideapad Slim 1 14IGL7 N4500 RAM 8GB 512 SSD W11+Ohs,4349000,UNKNOWN,UNKNOWN,UNKNOWN,8.0,INTEGRATED,0.0,UNKNOWN UNKNOWN,5000,2500,BASIC/ENTRY
"Laptop Asus Vivobook 14 A1404VA Intel Core i3 1315 8gb 256 GB 512 ssd W11 + OHS 14"" FHD",6079000,INTEL,INTEL CORE 1,404VA,8.0,INTEGRATED,14.0,INTEL CORE 1 404VA,5000,2500,BASIC/ENTRY
"Laptop ASUS Expertbook P1403CVA Intel COre I7 13620H RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 14"" Full HD",11249000,INTEL,INTEL CORE 1,403CV,16.0,INTEGRATED,14.0,INTEL CORE 1 403CV,5000,2500,BASIC/ENTRY
"Laptop ASUS Expertbook P1403CVA Intel COre i5 13420H RAM 16 GB SSD 512 GB Windows 11 +Office Home Student 14"" Full HD VIPS",9099000,INTEL,INTEL CORE 1,403CV,16.0,INTEGRATED,14.0,INTEL CORE 1 403CV,5000,2500,BASIC/ENTRY
Laptop ASUS Expertbook P1403CVA Intel Core i5 13420H RAM  8 GB SSD 512 GB WIndows 11 + Office Home Student 14 FUll HD,8499000,INTEL,INTEL CORE 1,403CV,8.0,INTEGRATED,0.0,INTEL CORE 1 403CV,5000,2500,BASIC/ENTRY
"Laptop ASUS Expertbook P1403CVA Intel Core i3 1315 RAM 8 GB SSD 512 GB Windows 11 + Office Home Student 14"" Full HD",6649000,INTEL,INTEL CORE 1,403CV,8.0,INTEGRATED,14.0,INTEL CORE 1 403CV,5000,2500,BASIC/ENTRY
Laptop Lenovo Legion Pro 7i 16 OLED Intel Core Ultra 9 275HX Nvidia GeForce RTX 5090 24 GB RAM 32 GB SSD 1 TB Windows 11 + Office  Home Student,68999000,INTEL,INTEL ULTRA 9,275HX,32.0,RTX 5090,16.0,INTEL ULTRA 9 275HX,32000,45000,GAMING/RENDERING BERAT
Laptop Lenovo Legion Pro 7i 16 OLED Intel Core Ultra 9 275HX Nvidia GeForce RTX 5080 16 GB RAM 32 GB SSD 1 TB Windoes 11 + Office  Home Stuedn,55199000,INTEL,INTEL ULTRA 9,275HX,32.0,RTX 5080,16.0,INTEL ULTRA 9 275HX,32000,38000,GAMING/RENDERING BERAT
LENOVO L24-4E 24INCH FHD 100HZ FLAT IPS 99SRGB 3Y,1259000,UNKNOWN,UNKNOWN,UNKNOWN,0.0,INTEGRATED,0.0,UNKNOWN UNKNOWN,5000,2500,BASIC/ENTRY
"Laptop MSI Katana 15HX Intel Core i7 14650HX NVidia GeForce RTX 5060 8GB RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 15.6"" QHD 165Hz  2 Year",20999000,INTEL,INTEL CORE 1,4650HX,16.0,RTX 5060,15.6,INTEL CORE 1 4650HX,5000,26000,GAMING/RENDERING BERAT
"Laptop MSI Crosshair 16HX AI Intel Core Ultra 9 275HX NVidia GeForce RTX 5060 8GB RAM 16 GB SSD 1 TB Windows 11 + OFfice Home Student 16"" QHD+ 240Hz",27999000,INTEL,INTEL ULTRA 9,275HX,16.0,RTX 5060,16.0,INTEL ULTRA 9 275HX,32000,26000,GAMING/RENDERING BERAT
Laptop Zyrex Lifebook Intel Celeron N4020 RAM 8 GB SSD 384 GB 128 GB Windows 11 Pro 14 Inch,2549000,INTEL,CELERON/ENTRY,N4020,8.0,INTEGRATED,14.0,CELERON/ENTRY N4020,2500,2500,BASIC/ENTRY
Laptop Lenovo Ideapad Slim 3 14IAU7 I3 1315U 8GB 512SSD W11+OHS FullHD,6549000,INTEL,CORE I3,1315U,8.0,INTEGRATED,0.0,CORE I3 1315U,10000,2500,PELAJAR/ADMIN
"Laptop Gaming ASUS ROG Zephyrus G16 GU605CP Intel Core Ultra 9 285H GeForce RTX5070 8 GB RAM 32 GB 2 TB Windows 11 + Office Home Student 16"" WQXGA 240 Hz",43649000,INTEL,INTEL CORE ,605CP,32.0,RTX 5070,16.0,INTEL CORE  605CP,5000,32000,GAMING/RENDERING BERAT
"Laptop ASUS ROG Strix G18 G815LM Intel COre Ultra 9 275HX GeForece RTX 5060 12GB RAM 32 GB SSD 1 TB Windows 11 + Office Home Student 18"" WQXGA 240 Hz",34149000,INTEL,INTEL CORE ,815LM,32.0,RTX 5060,18.0,INTEL CORE  815LM,5000,26000,GAMING/RENDERING BERAT
"Laptop ASUS ROG Strix G16 G615LM Intel COre Ultra 9 275HX GeForece RTX 5060 12GB RAM 32 GB SSD 1 TB Windows 11 + Office Home Student 16"" WQXGA 240 Hz",31799000,INTEL,INTEL CORE ,615LM,32.0,RTX 5060,16.0,INTEL CORE  615LM,5000,26000,GAMING/RENDERING BERAT
"Laptop ASUS ROG Strix G16 G614FR AMD Ryzen 9 9955HX3D GeForece RTX 5070Ti 12GB RAM 32 GB SSD 1 TB Windows 11 + Office Home Student 16"" WQXGA 240 Hz",39219000,AMD,RYZEN 9,240,32.0,RTX 5070,16.0,RYZEN 9 240,28000,32000,GAMING/RENDERING BERAT
"Laptop Lenovo Yoga 7 2 in 1 2in1 14 OLED AMD Ryzen 7 8840HS RAM 16 GB SSD 1 TB Windows 11 + Office Home Student 14"" WUXGA",17399000,AMD,RYZEN 7,UNKNOWN,16.0,INTEGRATED,14.0,RYZEN 7 UNKNOWN,14000,2500,PELAJAR/ADMIN
"Laptop Lenovo Ideapad Slim 3 14 AMD Ryzen 5 5625U RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 14"" Full HD IPS",8249000,AMD,RYZEN 5,5625U,16.0,INTEGRATED,14.0,RYZEN 5 5625U,11000,2500,PELAJAR/ADMIN
"Laptop ASUS Vivobook S14 M3407HA AMD Ryzen 7 260 RAM 16 GB SSD 1 TB WIndows 11 + Office Home Student 14"" WUXGA",12799000,APPLE,APPLE SILICON,M3,16.0,INTEGRATED,14.0,APPLE SILICON M3,22000,2500,MENENGAH/OFFICE MULTITASKING
"Laptop ASUS Vivobook S14 S3407CA Intel Core Ultra 5 225H RAM 16 GB SSD 1 TB WIndows 11 + Office Home Student 14"" WUXGA",12099000,INTEL,INTEL CORE 3,407CA,16.0,INTEGRATED,14.0,INTEL CORE 3 407CA,5000,2500,BASIC/ENTRY
"Laptop ASUS Vivobook S14 S3407QA Snapdragon X1 RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 14"" WQXGA IPS 2.5K",9539000,UNKNOWN,UNKNOWN,UNKNOWN,16.0,INTEGRATED,14.0,UNKNOWN UNKNOWN,5000,2500,BASIC/ENTRY
"Laptop Lenovo Ideapad Slim 3 14 Intel Core i5 13420H RAM 8 GB SSD 512 GB Windows 11 + Office Home Student 14"" WUXGA IPS",8429000,INTEL,INTEL CORE 1,3420H,8.0,INTEGRATED,14.0,INTEL CORE 1 3420H,5000,2500,BASIC/ENTRY
"Laptop ASUS Vivobook 14 Flip OLED TP4307sa Intel Core Ultra 5 226V RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 14"" WUXGA",15729000,INTEL,INTEL CORE 4,307SA,16.0,INTEGRATED,14.0,INTEL CORE 4 307SA,5000,2500,BASIC/ENTRY
"Laptop Lenovo Yoga Slim 7 14 Touch Screen AMD Ryzen AI 5 340 RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 14"" 2.8K OLED 120 Hz",16199000,AMD,RYZEN AI 5,340,16.0,INTEGRATED,14.0,RYZEN AI 5 340,5000,2500,BASIC/ENTRY
"Laptop ASUS ROG STRIX G16 G615LP Intel Core Ultra 9 275HX GeForce RTX 5070 8 gb  RAM 32 GB SSD 1 TB Windows 11 + Office Home Student 16"" WQXGA 240Hz",34699000,INTEL,INTEL CORE ,615LP,32.0,RTX 5070,16.0,INTEL CORE  615LP,5000,32000,GAMING/RENDERING BERAT
"Laptop Gaming ASUS ROG Zephyrus G16 GU605CR Intel Core Ultra 9 285H GeForce RTX5070Ti 12 GB RAM 32 GB 2 TB Windows 11 + Office Home Student 16"" WQXGA 240 Hz",51999000,INTEL,INTEL CORE ,605CR,32.0,RTX 5070,16.0,INTEL CORE  605CR,5000,32000,GAMING/RENDERING BERAT
"Laptop Gaming ASUS ROG Zephyrus G14 OLED GA403WR AMD Ryzen AI 9 HX370 GeForce RTX 5070 Ti 12 GB RAM 32 GB SSD 2 TB Windows 11 + Office Home Student 14"" QHD 120Hz",45959000,AMD,RYZEN AI 9,5070,32.0,RTX 5070,14.0,RYZEN AI 9 5070,34000,32000,GAMING/RENDERING BERAT
"Laptop Lenovo Yoga 7 2in1 14 OLED Intel Core Ultra 5 226V RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 14"" WUXGA +Pen",17499000,INTEL,INTEL ULTRA 5,226V,16.0,INTEGRATED,14.0,INTEL ULTRA 5 226V,20000,2500,MENENGAH/OFFICE MULTITASKING
"Laptop ASUS Vivobook S14 S3407CA Intel Core Ultra 7 255H RAM 16 GB SSD 1 TB Windows 11 + Office Home Student 14"" 2K",14199000,INTEL,INTEL CORE 3,407CA,16.0,INTEGRATED,14.0,INTEL CORE 3 407CA,5000,2500,BASIC/ENTRY
Laptop Asus Vivobook Go 15 E1504FA Ryzen 3 7320U 16 GB 512SSD W11+Ohs,7069000,AMD,RYZEN 3,7320U,16.0,INTEGRATED,0.0,RYZEN 3 7320U,9000,2500,PELAJAR/ADMIN
"Laptop Gaming ASUS ROG STRIX G16 G615LR Intel Core Ultra 9 275HX GeForce RTX 5070Ti 12gb  RAM 32 GB SSD 2 TB Windows 11 + Office Home Student 16"" QHD 240Hz",43819000,INTEL,INTEL CORE ,615LR,32.0,RTX 5070,16.0,INTEL CORE  615LR,5000,32000,GAMING/RENDERING BERAT
"Laptop HP 14 AMD Ryzen 3 7320 RAM 8 GB SSD 256 GB Windows 11 + Office Home Student 14"" FUll HD",5539000,AMD,RYZEN 3,7320,8.0,INTEGRATED,14.0,RYZEN 3 7320,5000,2500,BASIC/ENTRY
"Laptop Lenovo ThinkPad X1 Carbon Gen 13 AURA EDITION OLED Intel Core Ultra 7 258V RAM 32 GB SSD 1 TB Windows 11 Pro 14"" 2.8K 120Hz 3 Year",40699000,INTEL,INTEL ULTRA 7,258V,32.0,INTEGRATED,14.0,INTEL ULTRA 7 258V,25000,2500,PROFESSIONAL/CODING BERAT
"Laptop HP 14 AMD Ryzen 3 7320U RAM 8 GB SSD 512 GB Windows 11 + Office Home Student 14"" Full HD IPS",5849000,AMD,RYZEN 3,7320U,8.0,INTEGRATED,14.0,RYZEN 3 7320U,9000,2500,PELAJAR/ADMIN
Laptop Asus Vivobook 14 E1404GA I3 N305 8CORE 8GB 256-512SSD W11+OHS FHD,5799000,INTEL,INTEL CORE 1,404GA,8.0,INTEGRATED,0.0,INTEL CORE 1 404GA,5000,2500,BASIC/ENTRY
"Axioo Pongo 750 RTX4050 6GB/i7 13620H 16gb 512ssd DOS 15.6"" FHD 144HZ IPS RGB",14099000,INTEL,CORE I7,13620H,16.0,RTX 4050,15.6,CORE I7 13620H,15000,18000,GAMING/RENDERING BERAT
Laptop AXIOO HYPE-R 5 INTEL CORE I5 1235 RAM 24GB SSD 512GB 14.0 Full HD,7949000,INTEL,INTEL CORE ,512GB,24.0,INTEGRATED,14.0,INTEL CORE  512GB,5000,2500,BASIC/ENTRY
Laptop AXIOO HYPE-R 3 INTEL CORE I3 1215 RAM 12GB SSD 256GB 14.0Full HD,6049000,INTEL,INTEL CORE ,256GB,12.0,INTEGRATED,14.0,INTEL CORE  256GB,5000,2500,BASIC/ENTRY
"Laptop ASUS Gaming K16 K3605VC Intel COre I5 13420H RTX 3050 4GB RAM 16GB SSD 512 GB Windows 11 + Office Home Student 16"" WUXGA",10499000,INTEL,INTEL CORE 3,605VC,16.0,RTX 3050,16.0,INTEL CORE 3 605VC,5000,12000,BASIC/ENTRY
"Asus TUF A14 FA401UU RTX4050 6GB/RYZEN 7 8845HS 32gb 512ssd W11 + OHS 14"" QHD 165Hz 100SRGB",22369000,AMD,RYZEN 7,UNKNOWN,32.0,RTX 4050,14.0,RYZEN 7 UNKNOWN,14000,18000,GAMING/RENDERING BERAT
"Laptop Acer Nitro Lite 16 Intel Core i7 13620H RTX 2050 4GB RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 16"" WUXGA 180Hz 100 Srgb",13199000,INTEL,INTEL CORE 1,3620H,16.0,RTX 2050,16.0,INTEL CORE 1 3620H,5000,9000,BASIC/ENTRY
"Laptop Lenovo Yoga Slim 7 14 Touch Screen AMD Ryzen AI 7 350H RAM 32 GB SSD 1 TB Windows 11 + Office Home Student 14"" 2.8K OLED 120 Hz",18499000,AMD,RYZEN AI 7,350H,32.0,INTEGRATED,14.0,RYZEN AI 7 350H,29000,2500,PROFESSIONAL/CODING BERAT
"Laptop SPC Life 5 Intel Core i5 12450H RAM 8 GB SSD 512 GB Windows 11 Pro 14"" Full HD IPS",5449000,INTEL,INTEL CORE 1,2450H,8.0,INTEGRATED,14.0,INTEL CORE 1 2450H,5000,2500,BASIC/ENTRY
IBOX Apple MacBook Air 13 M4 10 Core CPU 8 / 10 Core GPU Memory 16 GB / 24 GB Storage 256 GB / 512 GB - Garansi Resmi IBOX,15999000,APPLE,APPLE SILICON,M4 ,24.0,INTEGRATED,0.0,APPLE SILICON M4 ,26000,2500,PROFESSIONAL/CODING BERAT
Laptop Axioo Hype 10 N4020 8GB 256SSD Dos / W110,3549000,INTEL,CELERON/ENTRY,N4020,8.0,INTEGRATED,0.0,CELERON/ENTRY N4020,2500,2500,BASIC/ENTRY
"Laptop 2 in 1 Acer Aspire Spin ASP14 Touch Screen Intel Core Ultra 5 115U RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 14"" WUXGA Pen",12749000,INTEL,INTEL ULTRA 5,115U,16.0,INTEGRATED,14.0,INTEL ULTRA 5 115U,20000,2500,MENENGAH/OFFICE MULTITASKING
"Laptop ACER Aspire Lite AL14 Intel Celeron N150 RAM 8 GB SSD 256 GB Windows 11 + Office Home Student 14"" WUXGA",4919000,INTEL,CELERON/ENTRY,N150,8.0,INTEGRATED,14.0,CELERON/ENTRY N150,2500,2500,BASIC/ENTRY
"Laptop Lenovo Yoga 7 2 in 1 14 OLED AMD Ryzen AI 5 340 RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 14"" WUXGA + PEN",16299000,AMD,RYZEN AI 5,340,16.0,INTEGRATED,14.0,RYZEN AI 5 340,5000,2500,BASIC/ENTRY
Asus Vivobook Go 15 E1504FA Ryzen 5 7520U 16GB 512SSD W11+OHS FHD,8299000,AMD,RYZEN 5,7520U,16.0,INTEGRATED,0.0,RYZEN 5 7520U,11000,2500,PELAJAR/ADMIN
"Laptop ACER Mate 14 AM1 Intel Core i5 1235 RAM 8 GB SSD 512 GB Windows 11 + Office Home Student 14"" IPS",7399000,INTEL,CORE I5,1235,8.0,INTEGRATED,14.0,CORE I5 1235,12000,2500,PELAJAR/ADMIN
Laptop Lenovo Yoga Slim 7 Aura Edition 14 Touch Screen OLED Intel Core Ultra 7 258V RAM 32GB SSD 1 TB Windows 11 + Office Home Student 120 Hz EVO,19799000,INTEL,INTEL ULTRA 7,258V,32.0,INTEGRATED,0.0,INTEL ULTRA 7 258V,25000,2500,PROFESSIONAL/CODING BERAT
"Laptop Lenovo Ideapad Flex 5 14 AMD Ryzen 7 5825 RAM 16GB SSD 512 GB Windows 11 + Office Home Student 14"" WUXGA + PEN",11649000,AMD,RYZEN 7,5825,16.0,INTEGRATED,14.0,RYZEN 7 5825,14000,2500,PELAJAR/ADMIN
"Laptop ASUS Vivobook 14 A1407QA Snapdragon X X1 26100 RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 14"" WUXGA",8879000,UNKNOWN,UNKNOWN,UNKNOWN,16.0,INTEGRATED,14.0,UNKNOWN UNKNOWN,5000,2500,BASIC/ENTRY
"Laptop HP Pavilion X360 14 TOUCH Intel Core 5 120U RAM 16gb SSD 512ssd Windows 11 + Office Home Student 14"" Fhd IPS FP PEN 720P CAM 2Y",11599000,INTEL,INTEL CORE 5,120U,16.0,INTEGRATED,14.0,INTEL CORE 5 120U,14000,2500,PELAJAR/ADMIN
Laptop Lenovo Yoga 9 2 in 1  AURA EDITION 14 OLED Intel Core Ultra 7 258V RAM 32 GB 1 TB Windows 11 + Office Home Student  14 4K PEN,28999000,INTEL,INTEL ULTRA 7,258V,32.0,INTEGRATED,14.0,INTEL ULTRA 7 258V,25000,2500,PROFESSIONAL/CODING BERAT
"Laptop Acer Aspire Lite 14 AL14 Core 3 N355 RAM 8GB SSD 512 GB Windows 11 + Office Home Student 14"" inch WUXGA IPS",5899000,UNKNOWN,UNKNOWN,UNKNOWN,8.0,INTEGRATED,14.0,UNKNOWN UNKNOWN,5000,2500,BASIC/ENTRY
"Lenovo Ideapad Pro 5 14 OLED Intel Core Ultra 7 255H RAM 24 GB SSD 1 TB Windows 11 + Office Home Student 14"" 2.8K 120Hz EVO",17199000,INTEL,INTEL ULTRA 7,255H,24.0,INTEGRATED,14.0,INTEL ULTRA 7 255H,25000,2500,PROFESSIONAL/CODING BERAT
ASUS ROG Strix Scar 18 G835LX Intel Core Ultra 9 275HX GeForce RTX 5090 24GB RAM 64 GB SSD 4 TB Windows 11 + Office Home Student 18/0 2.5K MINILED 240Hz PKRGB,85149000,INTEL,INTEL CORE ,835LX,64.0,RTX 5090,0.0,INTEL CORE  835LX,5000,45000,GAMING/RENDERING BERAT
"ASUS ROG Strix Scar 18 G835LW Intel Core Ultra 9 275HX GeForce RTC 5080 16 GB RAM 32 GB SSD 2 TB Windows 11 + Office Home Student 18"" 2.5K MINILED 240Hz",71999000,INTEL,INTEL CORE ,835LW,32.0,INTEGRATED,18.0,INTEL CORE  835LW,5000,2500,BASIC/ENTRY
"Laptop Gaming ASUS ROG Strix Scar 16 G635LW Intel Core Ultra 9 275HX GeForce RTX5080 16 GB RAM 32 GB SSD 2TB Windows 11 + Office Home Student 16"" 2.5K MINILED 240Hz PKRGB",70249000,INTEL,INTEL CORE ,635LW,32.0,RTX 5080,16.0,INTEL CORE  635LW,5000,38000,GAMING/RENDERING BERAT
"Laptop Gaming ASUS ROG STRIX G16 G615LW Intel COre Ultra 9 275HX GeForce RTX 5080 16gb  RAM 32 GB SSD 2 TB Windows 11 + Office Home Student 16"" 2.5K 240Hz",55999000,INTEL,INTEL CORE ,615LW,32.0,RTX 5080,16.0,INTEL CORE  615LW,5000,38000,GAMING/RENDERING BERAT
Laptop Acer Aspire 7 Pro A715 Intel Core i7 12650H GeFOrce RTX 3050 6GB RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 15.6 FHD 144 Hz,11899000,INTEL,INTEL CORE 1,2650H,16.0,RTX 3050,15.6,INTEL CORE 1 2650H,5000,12000,BASIC/ENTRY
Laptop Acer Aspire 7 Pro A715 Intel COre i5 12450H GeForce RTX 3050 6GB RAM 8GB SSD 512 GB Windows 11 + Office Home Student 15.6 FHD 144Hz,10199000,INTEL,INTEL CORE 1,2450H,8.0,RTX 3050,15.6,INTEL CORE 1 2450H,5000,12000,BASIC/ENTRY
"Laptop Ringan ASUS Zenbook 14 OLED UM3406KA AMD Ryzen AI 7 350 RAM 32GB SSD 1TB Windows 11 + Office Home Student 14""",18599000,AMD,RYZEN AI 7,350,32.0,INTEGRATED,14.0,RYZEN AI 7 350,29000,2500,PROFESSIONAL/CODING BERAT
"Laptop Gaming MSI Vector 16HX AI Intel Core Ultra 275Hx NVidia GeForce RTX 5080 16 GB RAM 16 GB 1 TB Windows 11 + Office Home Student 16"" QHD+ 240",37699000,INTEL,INTEL ULTRA ,275HX,16.0,RTX 5080,16.0,INTEL ULTRA  275HX,5000,38000,GAMING/RENDERING BERAT
"Laptop Gaming MSI Raider 18HX AI Intel Core Ultra 9 285HX NVidia GeForce RtX5080 16GB RAM 64 GB SSD 4 TB Windows 11 + Office Home Student 18"" UHD+ MiniLED 120Hz",70999000,INTEL,INTEL ULTRA 9,285HX,64.0,RTX 5080,18.0,INTEL ULTRA 9 285HX,32000,38000,GAMING/RENDERING BERAT
"Laptop Gaming MSI Titan 18HX Intel Core Ultra 9 285HX GeForce RtX 5090 24G RAM 64 GB SSD 6TB Windows 11 + Officce Home Student 18"" Inch UHD+ MiniLED 120 Hz",92499000,INTEL,INTEL ULTRA 9,285HX,64.0,RTX 5090,18.0,INTEL ULTRA 9 285HX,32000,45000,GAMING/RENDERING BERAT
"Laptop Gaming MSI Titan 18HX Dragon Edition Norse Myth Intel Core Ultra 9 285HX GeForce RtX 5090 24G RAM 96 GB SSD 6TB Windows 11 + Officce Home Student 18"" Inch UHD+ MiniLED 120 Hz",101999000,INTEL,INTEL ULTRA 9,285HX,0.0,RTX 5090,18.0,INTEL ULTRA 9 285HX,32000,45000,GAMING/RENDERING BERAT
"Laptop Lenovo Ideapad Slim 3 14 intel Core i7 13620H RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 14"" WUXGA IPS",11149000,INTEL,INTEL CORE 1,3620H,16.0,INTEGRATED,14.0,INTEL CORE 1 3620H,5000,2500,BASIC/ENTRY
"Laptop ADVAN 360 Stylus Pro 2 in 1 Touch Screen Intel Core i3 1215 RAM 8GB SSD 256 GB Windows 11 14"" FUll HD IPS",6499000,INTEL,CORE I3,1215,8.0,INTEGRATED,14.0,CORE I3 1215,9500,2500,PELAJAR/ADMIN
Laptop Tecno Megabook T1 14 Intel Core I5 13420H RAM 16 GB SSD 512 GB Windows 11 14 Inch WUXGA 100SRGB,7999000,INTEL,INTEL CORE 1,3420H,16.0,INTEGRATED,14.0,INTEL CORE 1 3420H,5000,2500,BASIC/ENTRY
Laptop TECNO Megabook T1 14 AMD RYZEN 5 RAM 16 GB SSD 512 GB Windows 11 14 Inch WUXGA 100SRGB,6999000,AMD,RYZEN 5,UNKNOWN,16.0,INTEGRATED,14.0,RYZEN 5 UNKNOWN,11000,2500,PELAJAR/ADMIN
"Laptop Acer Predator Helios NEO 16 Intel Core I9 14900HX 8GB RAM 16 GB SSD 1 TB Windows 11 + Office Home Student 16"" WQXGA 180 Hz 100Srgb 4 Zone RGB",22099000,INTEL,INTEL CORE 1,4900HX,16.0,INTEGRATED,16.0,INTEL CORE 1 4900HX,5000,2500,BASIC/ENTRY
Laptop HP Victus 15 AMD Ryzen 9 8945HS GeForce RTX4060 8GB RAM 16 GB SSD  1 TB Windows 11 + Office Homse Student 15.6 Full HD 144Hz 2Y+ADP,18499000,AMD,RYZEN 9,UNKNOWN,16.0,RTX 4060,15.6,RYZEN 9 UNKNOWN,28000,22000,GAMING/RENDERING BERAT
"Laptop ASUS ROG Flow Z13 GZ302EA Touch AMD Ryzen AI Max+ 395 RAM 32 / 64 GB SSD 1TB Windows 11 + Office Home Student 13.4"" 2.K 180Hz",33819000,AMD,RYZEN AI ,395,64.0,INTEGRATED,13.4,RYZEN AI  395,5000,2500,BASIC/ENTRY
"Laptop ACER ASPIRE LITE AL14 Intel Core I7 12650H RAM 16GB SSD 1TB Windows 11 + Office Home Student 14"" ips",10999000,INTEL,INTEL CORE 1,2650H,16.0,INTEGRATED,14.0,INTEL CORE 1 2650H,5000,2500,BASIC/ENTRY
"Laptop INFINIX INBOOK X2 Intel Core I5 1334U RAM 8 GB / 16 GB SSD 512GB Windows 11 14"" Full HD 100SRGB",6799000,INTEL,INTEL CORE 5,1334U,16.0,INTEGRATED,14.0,INTEL CORE 5 1334U,13000,2500,PELAJAR/ADMIN
"Laptop INFINIX XBOOK B15 AMD RYZEN 7 5825U RAM 8GB SSD 512GB WINDOWS 11 15"" FULL HD",6199000,AMD,RYZEN 7,5825U,8.0,INTEGRATED,15.0,RYZEN 7 5825U,14000,2500,PELAJAR/ADMIN
Laptop LENOVO IDEAPAD SLIM 5 14 OLED INTEL CORE 7 240H RAM 16GB SSD 512GB Windows 11+OHS 14.0WUXGA 2Y+ADP,13349000,INTEL,INTEL CORE 7,240H,16.0,INTEGRATED,14.0,INTEL CORE 7 240H,15000,2500,MENENGAH/OFFICE MULTITASKING
Laptop LENOVO IDEAPAD SLIM 5 13 AMD RYZEN 7 7735HS RAM 16GB SSD512GB Windows 11+OHS 13.3WUXGA 100SRGB,11379000,AMD,RYZEN 7,UNKNOWN,16.0,INTEGRATED,13.3,RYZEN 7 UNKNOWN,14000,2500,PELAJAR/ADMIN
Laptop AXIOO PONGO 735 INTEL CORE I7 13620H RTX3050 6GB/ RAM 16GB SSD 512GB 15.6Full HD 144HZ IPS RGB 3Y,12899000,INTEL,INTEL CORE 1,3620H,16.0,RTX 3050,15.6,INTEL CORE 1 3620H,5000,12000,BASIC/ENTRY
Laptop AXIOO HYPE-R 5 OLED INTEL CORE I5 1235 RAM 24GB SSD 512GB 14.0Full HD,9299000,INTEL,INTEL CORE ,512GB,24.0,INTEGRATED,14.0,INTEL CORE  512GB,5000,2500,BASIC/ENTRY
Laptop AXIOO HYPE-R 3 OLED INTEL CORE I3 1215 RAM 24GB SSD 256GB 14.0Full HD,7599000,INTEL,INTEL CORE ,256GB,24.0,INTEGRATED,14.0,INTEL CORE  256GB,5000,2500,BASIC/ENTRY
"Laptop ASUS GAMING V16 V3607VU Intel Core 5 210H GeForce RTX 4050 6GB RAM 16 GB SSD 512 GB Windows 11 + Office Home Student 16"" Inch 144Hz Refresh Rate",12899000,INTEL,INTEL CORE 3,607VU,16.0,RTX 4050,16.0,INTEL CORE 3 607VU,5000,18000,GAMING/RENDERING BERAT
Laptop AXIOO HYPE 7 AMD X7 AMD RYZEN 7 5825 RAM 8GB SSD 512GB Windows 11 14.0Full HD IPS,7049000,AMD,RYZEN 7,5825,8.0,INTEGRATED,14.0,RYZEN 7 5825,14000,2500,PELAJAR/ADMIN
Laptop AXIOO HYPE 7 AMD X7 AMD RYZEN 7 5825 SSD 16GB SSD 512GB DOS 14.0Full HD IPS,7249000,AMD,RYZEN 7,5825,16.0,INTEGRATED,14.0,RYZEN 7 5825,14000,2500,PELAJAR/ADMIN
Laptop AXIOO HYPE 3 G11 INTEL CORE I3 1125G4 RAM8GB SSD256GB DOS 14.0Full HD IPS,4499000,INTEL,INTEL CORE 3,1125G,8.0,INTEGRATED,14.0,INTEL CORE 3 1125G,5000,2500,BASIC/ENTRY
